# บ้านไท ฮาร์ดแวร์ Shopee · 687 รายการ · อัปเดต 2026-09-06 · ไม่มีราคา/สต๊อก · ลิงก์=shopee.co.th/product/54723061/<id>
id	ชื่อสินค้า	หมวด	หมวดย่อย	แบรนด์	ตัวเลือก
28100373944	(1ม้วน) แผ่นปิดรอยต่ออเนกประสงค์ WORLD ปิดรอยต่อหลังคา อุดรอยรั่ว ปิดรอยรั่ว กันซึม หลังคารั่ว สีดำ	กาว-เทป-ซีลแลนท์	กาวซิลิโคน-ยาแนว		20ซม.x3ม/1ม้วน / 30ซม.x3ม/1ม้วน / 10ซม.x3ม/1ม้วน
28109352632	(24หลอด) กาวซิลิโคนหลอด Silicone GP ยาแนว อุดรอยรั่ว กันน้ำท่วม กาวกันรั่วซึม รอยร้าว คุณภาพสูงยืนหยุ่น 300ML	กาว-เทป-ซีลแลนท์	กาวซิลิโคน-ยาแนว	HANDSOME(แฮนด์ซัม)	ใส / ขาว / ดำ
24585350654	กาวซิลิโคนหลอด Silicone GP ยาแนว อุดรอยรั่ว กันน้ำ กาวกันรั่วซึม รอยร้าว คุณภาพสูงยืนหยุ่น 300ML	กาว-เทป-ซีลแลนท์	กาวซิลิโคน-ยาแนว	HANDSOME(แฮนด์ซัม)	ดำ / ใส / ขาว
11458541792	กาวซิลิโคน DOWSIL (Corning) GP 280ml (ยกลัง)	กาว-เทป-ซีลแลนท์	กาวซิลิโคน-ยาแนว		Dowsil ยกลัง (ใส) / Dowsil ยกลัง (ขาว) / Dowsil ยกลง (ดำ) / Dowsil ยกลัง มีเนียม
3011549167	กาวซิลิโคน DOWSIL Dow corning GP 280ml	กาว-เทป-ซีลแลนท์	กาวซิลิโคน-ยาแนว		น้ำตาล,280ml. / ใส,280ml. / มิเนียม,280ml. / ดำ,280ml. / ขาว,280ml.
23963042399	กาวอะคริลิค แด๊ป ซิลิโคน XtraSeal MC-817 ยาแนว อุดรอยรั่ว กันน้ำ กาวกันรั่วซึม กันเชื้อรา รอยร้าว คุณภาพสูงยืนหยุ่น	กาว-เทป-ซีลแลนท์	กาวซิลิโคน-ยาแนว	Xtraseal(เอ็กซ์ตร้าซิล)	ขาว / ดำ / น้ำตาล
11655415805	กาวอะคริลิค **ยกลัง** Redfox Acrylic Sealant ยาแนว อุดรอยรั่ว กันน้ำ กาวกันรั่วซึม รอยร้าว เรดฟ๊อก	กาว-เทป-ซีลแลนท์	กาวซิลิโคน-ยาแนว		Redfox ยกลัง (น้ำตาล / Redfox ยกลัง (ขาว) / Redfox ยกลัง (ดำ)
10506331345	กาวอะคริลิค Redfox Acrylic Sealant ยาแนว อุดรอยรั่ว กันน้ำ กาวกันรั่วซึม รอยร้าว เรดฟ๊อก สีขาว ดำ น้ำตาล	กาว-เทป-ซีลแลนท์	กาวซิลิโคน-ยาแนว	Red Fox(เรดฟ็อกซ์)	ขาว / ดำ / น้ำตาล
9930621436	ปืนยิงซิลิโคน ปืนยิงกาว แกนเหล็กคู่ แข็งแรง ที่ยิงซิลิโคน ที่ยิงแด๊ป ปืนยิงแด๊ป คุ้มค่า ราคาถูก คุณภาพดี!!!	กาว-เทป-ซีลแลนท์	กาวซิลิโคน-ยาแนว		
5681085371	ปืนยิงซิลิโคน **สีดำ** ปืนยิงกาว แกนเหล็กคู่ แข็งแรง ที่ยิงซิลิโคน ที่ยิงแด๊ป ปืนยิงแด๊ป คุ้มค่า ราคาถูก คุณภาพดี!!!	กาว-เทป-ซีลแลนท์	กาวซิลิโคน-ยาแนว		
